C318_T,INGTOT_log,INGTRABW_log,INGTOT,ingtrabw,C335_1,C335_2,busca_otro_empleo,I342,trabaja_menos_35h,INGTOTP,ingreso_por_hora_log,ingreso_secundario_total,ingreso_por_hora,C377,SEGURO1,INGTOTP_log,C208,horas_secundaria,I339_1,tiene_pension,C207,whoraT,tiene_sis,C361_5,C328_T,C366,grupo_edad_35_44,jefe_hogar,C311_ ,empresa_registrada_sunat,tiene_seguro_salud,proteccion_social_completa
48.0,8.76732914779405,8.981052985901483,6420.0,7950.0,False,True,0,1160.0,0,6420.0,3.669966154112725,0.0,38.25057736720554,7,3,8.76732914779405,53.0,0.0,6000.0,1,1,48.0,0,2,10.0,9,False,1,False,1,1,1
40.0,7.018401799069201,7.018401799069201,1116.0,1116.0,False,True,0,1116.0,0,1116.0,2.007330153812948,1116.0,6.443418013856814,7,5,7.018401799069201,41.0,0.0,1500.0,0,2,40.0,1,1,10.0,6,True,1,True,0,1,0
50.0,7.824445930877619,7.888709524182015,2500.0,2666.0,False,True,0,1160.0,0,2500.0,2.5888227047006698,0.0,12.314087759815244,7,1,7.824445930877619,57.0,0.0,2500.0,0,1,50.0,0,2,10.0,9,False,1,False,1,1,0
40.0,8.160803920954665,8.34283980427146,3500.0,4199.0,False,True,0,1160.0,0,3500.0,3.228574597775957,0.0,24.24364896073903,7,3,8.160803920954665,45.0,0.0,3500.0,1,2,40.0,0,2,10.0,11,False,1,False,1,1,1
35.0,7.324489979348532,7.378383712996714,1516.0,1600.0,False,False,0,1160.0,0,1500.0,2.2356521241841425,0.0,8.352578906851424,7,5,7.313886831633462,23.0,0.0,1500.0,0,2,35.0,1,1,10.0,10,False,0,True,0,1,0
67.0,8.207401833376355,8.207401833376355,3667.0,3667.0,False,True,0,3543.0,0,3543.0,2.5337861957967087,3643.0,11.601126261507796,7,5,8.173011311724972,48.0,6.0,1500.0,0,2,73.0,1,1,6.0,10,False,1,True,1,1,0
32.0,8.38958706681109,8.38958706681109,4400.0,4400.0,False,True,0,4400.0,1,4400.0,3.4890616152921177,4400.0,31.75519630484989,7,5,8.38958706681109,31.0,0.0,1500.0,1,1,32.0,1,1,10.0,11,False,1,True,1,1,1
6.0,7.724446645633537,7.724446645633537,2262.0,2262.0,False,True,0,2262.0,0,2262.0,2.7415599216811666,2262.0,14.511162432640493,7,5,7.724446645633537,72.0,0.0,1500.0,0,1,36.0,1,1,10.0,5,False,0,True,0,1,0
56.0,7.280008252884188,7.280008252884188,1450.0,1450.0,False,True,0,1450.0,0,1450.0,1.943030955128068,1450.0,5.979874628835368,7,5,7.280008252884188,29.0,0.0,1500.0,0,1,56.0,1,1,10.0,6,False,1,True,1,1,0
58.0,7.457609289715606,7.504942068396171,1732.0,1816.0,False,True,0,1160.0,0,1732.0,2.1079107358384364,0.0,7.231026519073026,7,5,7.457609289715606,29.0,0.0,1732.0,0,1,58.0,1,1,10.0,8,False,0,False,0,1,0
32.0,7.828436359157585,7.928406026180535,2510.0,2774.0,False,True,0,1160.0,0,2510.0,2.834163849932653,0.0,16.016166281755197,7,1,7.828436359157585,71.0,0.0,1350.0,1,2,40.0,0,2,10.0,6,False,1,True,0,1,1
21.0,4.68213122712422,4.68213122712422,107.0,107.0,False,True,0,90.0,1,107.0,0.7778234530948221,90.0,1.1767293522489826,1,6,4.68213122712422,78.0,0.0,1500.0,0,1,21.0,0,2,10.0,3,False,1,True,0,0,0
48.0,7.496097345175956,7.719129840906732,1800.0,2250.0,False,True,0,1160.0,0,1800.0,2.4702696415130023,0.0,10.825635103926096,7,1,7.496097345175956,26.0,0.0,1800.0,1,2,48.0,0,2,10.0,8,False,1,False,1,1,1
55.0,6.824373670043086,6.824373670043086,919.0,919.0,True,False,1,919.0,0,919.0,1.5808146371788017,919.0,3.8589124501364687,9,5,6.824373670043086,40.0,0.0,1500.0,0,1,55.0,1,1,10.0,6,True,0,True,0,1,0
81.0,8.006700845440367,8.151044945685024,3000.0,3466.0,False,True,0,1160.0,0,3000.0,2.3871326173762246,0.0,9.882245602030052,1,1,8.006700845440367,55.0,0.0,3000.0,1,1,81.0,0,2,10.0,6,False,1,False,1,1,1
12.0,8.933004591578547,8.933004591578547,7577.0,7577.0,False,True,0,7577.0,1,7577.0,4.083106386799925,7577.0,58.32948421862972,7,5,8.933004591578547,43.0,0.0,1500.0,0,2,30.0,1,1,10.0,5,True,0,True,0,1,0
30.0,6.573680166960646,6.573680166960646,715.0,715.0,True,False,1,1160.0,1,715.0,1.8724533534822447,0.0,5.50423402617398,7,5,6.573680166960646,18.0,0.0,585.0,1,1,30.0,1,1,10.0,10,False,0,False,1,1,1
35.0,7.893572073504902,7.955074273262696,2679.0,2849.0,False,True,0,1160.0,0,2679.0,2.985635280676266,0.0,18.79907621247113,7,1,7.893572073504902,64.0,0.0,1200.0,1,2,35.0,0,2,10.0,8,False,0,True,0,1,1
22.0,6.887552571664617,6.887552571664617,979.0,979.0,False,True,0,1160.0,1,779.0,2.115466232124314,200.0,7.293451538404232,1,5,6.659293919683638,53.0,9.0,779.0,1,1,31.0,1,1,9.0,6,False,0,False,1,1,1
44.0,7.409136443920128,7.409136443920128,1650.0,1650.0,False,True,0,1650.0,0,1650.0,2.05472418447451,1650.0,6.804684922467832,7,5,7.409136443920128,42.0,0.0,1500.0,0,1,56.0,1,1,10.0,9,True,1,True,0,1,0
54.0,7.313886831633462,7.313886831633462,1500.0,1500.0,False,True,0,1500.0,0,1500.0,2.003530757145201,1500.0,6.415191172696947,7,5,7.313886831633462,57.0,0.0,1500.0,0,2,54.0,1,1,10.0,5,False,1,True,1,1,0
84.0,5.442417710521793,5.442417710521793,230.0,230.0,False,True,0,200.0,0,230.0,0.490023486898852,200.0,0.6323545584515561,7,6,5.442417710521793,29.0,0.0,1500.0,1,2,84.0,0,2,10.0,5,False,0,True,0,0,0
44.0,7.783640596221253,8.066207568006265,2400.0,3184.0,True,False,1,1160.0,0,2400.0,2.8742511950372087,0.0,16.71215620407306,7,1,7.783640596221253,26.0,0.0,2400.0,1,1,44.0,0,2,10.0,10,False,0,False,1,1,1
