C208,C318_T,whoraT,INGTOT,INGTOTP,ingtrabw,C207_bin,C361_1_bin,C361_5_bin,C364_1_bin,C364_2_bin,C375_1_bin,C375_2_bin,C375_3_bin,C375_4_bin,C375_5_bin,C375_6_bin,C335_bin,nivel_educativo_ord,tamano_empresa_ord,C203_parentesco_2.0,C203_parentesco_3.0,C203_parentesco_4.0,C203_parentesco_5.0,C203_parentesco_6.0,C203_parentesco_7.0,C203_parentesco_8.0,C203_parentesco_11.0,C310_cat_ocup_2.0,C310_cat_ocup_3.0,C310_cat_ocup_4.0,C310_cat_ocup_6.0,C310_cat_ocup_7.0,C310_cat_ocup_8.0,C311_tipo_entidad_2.0,C311_tipo_entidad_3.0,C311_tipo_entidad_4.0,C311_tipo_entidad_5.0,C312_registro_sunat_2.0,C312_registro_sunat_3.0,C313_contabilidad_2.0,seguro_salud_2,seguro_salud_3,seguro_salud_4,seguro_salud_5,seguro_salud_6,C376_lengua_2,C376_lengua_3,C376_lengua_5,C376_lengua_9,C376_lengua_10,C376_lengua_11,C376_lengua_12,C376_lengua_13,C376_lengua_14,C377_etnia_2,C377_etnia_3,C377_etnia_4,C377_etnia_5,C377_etnia_6,C377_etnia_7,C377_etnia_8,C377_etnia_9,target_subempleo_horas
43,60.0,60,1343.0,1343.0,1343.0,0,0,1,0,0,0,0,0,0,0,0,0.0,5.0,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
38,32.0,32,1299.0,1299.0,1299.0,1,0,1,1,0,0,0,0,0,0,0,1.0,6.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
45,40.0,51,1500.0,1500.0,2042.0,1,1,0,1,0,0,0,0,0,0,0,0.0,9.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
49,70.0,70,900.0,900.0,900.0,0,0,1,1,0,0,0,0,0,0,0,0.0,9.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
22,40.0,40,3400.0,3400.0,3683.0,1,1,0,1,0,0,0,0,0,0,0,0.0,11.0,5.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
56,24.0,28,903.0,903.0,903.0,1,1,0,0,0,0,0,0,0,0,0,0.0,5.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
69,28.0,28,347.0,347.0,347.0,1,0,1,0,0,0,0,0,0,0,0,0.0,6.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
69,68.0,68,1825.0,1825.0,1825.0,1,0,0,0,0,0,0,0,0,0,0,0.0,6.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,48.0,48,1300.0,1300.0,1300.0,1,0,1,0,0,0,0,0,0,0,0,0.0,6.0,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
63,30.0,30,3000.0,3000.0,3083.0,0,1,0,0,1,0,0,0,0,0,0,0.0,11.0,5.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
