ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,REGION,LLAVE_PANEL,ESTRATO,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,D351_T,INGTOT,INGTOTP,ingtrabw,RESIDENT,fa_ond24,fa_efm24,fa_amj24,fa_jas24
2024,10,25077,1,31,1,1,202410250771003008,1,2,2,1,2, ,2,60,2,2,25,11,1963,1, , , , , , , , , , , , , , , ,5213,4782,2, ,2,2,1,1,10,10,10,10,0,10,10,60, ,60,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , ,1032, , , , , , ,1032,1032,1032,1,1090.06600766393,,,
2024,10,25077,1,31,1,1,202410250771003008,1,3,3,1,2, ,2,33,3,1,28,3,1991,1, , , , , , , , , , , , , , , ,3432,1811,3,5,2,1,1,6,0,8,8,8,8,8,6,46, ,46,1, ,2, ,2,2,2,250, , , , , , , , , , , , , , ,2,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,1083, , , , , , , , ,1083,1083,1083,1,1314.28220729624,,,
2024,10,25077,1,33,1,1,202410250771003008,1,1,1,1,2, ,1,41,1,1,12,12,1982,1, , , , , , , , , , , , , , , ,9621,4923,2, ,3,2,1,1,0,5,5,5,5,5,2,27, ,27,1, ,1,1,1,2, , , , , , , , , , , , , , , , ,1,6,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , ,1415, , , , , , ,1415,1415,1415,1,1464.71772449194,,,
2024,10,25077,1,33,1,1,202410250771003008,1,2,2,1,2, ,2,45,2,2,19,12,1978,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2, ,5243,4791,2, ,3,2,1,1,2,3,3,3,6,2,3,22, ,22,1, ,1,1,1,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , ,850,150, , , , , ,1000,1000,1000,1,1090.06600766393,,,
2024,10,25077,1,33,1,1,202410250771003008,1,3,3,1,2, ,2,25,3,2,24,10,1998,1, , , , , , , , , , , , , , , ,4222,8220,3,5,1, ,4,150,0,8,8,8,8,8,8,48, ,48,1, ,2, ,2,2,4,1025, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,1025, , , , , , , , ,1025,1025,1025,1,1314.28220729624,,,
2024,10,25077,1,33,1,1,202410250771003008,1,4,3,1,2, ,2,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,,,
2024,10,25077,1,34,1,1,202410250771003008,1,1,1,1,2, ,2,56,1,1,20,9,1968,1, , , , , , , , , , , , , , , ,7354,9529,2, ,3,2,1,1,0,6,6,7,7,6,7,39, ,39,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,1,1,2,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,8,1, ,2,2,2,2,2,2,10,7,1, , ,606, , , , , , ,606,606,606,1,1090.06600766393,,,
2024,10,25077,1,34,1,1,202410250771003008,1,2,3,1,2, ,2,21,2,2,24,1,2003,1, , , , , , , , , , , , , , , ,2359,8510,3,5,1, ,1,10,0,0,0,0,6,0,0,6,24,30,1, ,1,2,2,1,4,400, , , ,960, , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,400, , , ,960, , , , ,1360,400,1360,1,1363.57072891482,,,
2024,10,27393,1,97,1,1,202410273931008992,1,1,1,1,2, ,1,62,1,1,8,5,1962,1, , , , , , , , , , , , , , , ,7322,3100,2, ,3,2,1,1,0,7,7,7,7,0,0,28, ,28,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,2,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,4, ,2,2,2,2,2,2,10,7,1, , ,1732, , , , , , ,1732,1732,1732,1,1935.12187204229,,,
2024,10,27393,1,97,1,1,202410273931008992,1,2,3,1,2, ,1,26,2,2,6,2,1998,1, , , , , , , , , , , , , , , ,5230,5610,3,5,1, ,2,32,5,5,5,0,0,5,0,20, ,20,1, ,2, ,2,2,4,600,50, , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,10,2, ,2,2,2,2,2,2,10,7,1,600,217, , , , , , , ,817,817,817,1,2448.13279960002,,,
